date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
00:35:31	3341/3341	---MCZ	404	error ('Not%20Found')	text/html	date:Sun,%2003%20Mar%202019%2019:05:32%20GMT	http://himanshunarang.000webhostapp.com/robots.txt		(from )
00:35:32	14066/14066	---MCZ	200	added ('OK')	text/html	date:Sun,%2003%20Mar%202019%2019:05:32%20GMT	http://himanshunarang.000webhostapp.com/	C:/Users/YASHI/Desktop/project/himanshunarang.000webhostapp.com/index.html	(from )
00:35:34	121200/121200	---M-Z	200	added ('OK')	text/css	etag:%221544639647%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	C:/Users/YASHI/Desktop/project/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/css/bootstrap.min.css	(from http://himanshunarang.000webhostapp.com/)
00:35:36	31000/31000	---MCZ	200	added ('OK')	text/css	etag:W/%225afd4939-7918%22	https://cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	C:/Users/YASHI/Desktop/project/cdnjs.cloudflare.com/ajax/libs/font-awesome/4.7.0/css/font-awesome.min.css	(from http://himanshunarang.000webhostapp.com/)
00:35:36	2391/2391	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202017%2009:27:41%20GMT	http://himanshunarang.000webhostapp.com/css/style.css	C:/Users/YASHI/Desktop/project/himanshunarang.000webhostapp.com/css/style.css	(from http://himanshunarang.000webhostapp.com/)
00:35:37	86659/86659	---MC-	200	added ('OK')	text/javascript	date:Fri,%2024%20Mar%202017%2020:55:54%20GMT	https://ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	C:/Users/YASHI/Desktop/project/ajax.googleapis.com/ajax/libs/jquery/3.2.1/jquery.min.js	(from http://himanshunarang.000webhostapp.com/)
00:35:37	37045/37045	---M-Z	200	added ('OK')	text/javascript	etag:%221544639631%22	https://maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	C:/Users/YASHI/Desktop/project/maxcdn.bootstrapcdn.com/bootstrap/3.3.7/js/bootstrap.min.js	(from http://himanshunarang.000webhostapp.com/)
00:35:39	11953/11953	---MCZ	200	added ('OK')	application/javascript	date:Mon,%2024%20Jul%202017%2009:27:58%20GMT	http://himanshunarang.000webhostapp.com/js/wow.js	C:/Users/YASHI/Desktop/project/himanshunarang.000webhostapp.com/js/wow.js	(from http://himanshunarang.000webhostapp.com/)
00:35:41	9129/9129	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jul%202017%2009:26:18%20GMT	http://himanshunarang.000webhostapp.com/images/development.jpg	C:/Users/YASHI/Desktop/project/himanshunarang.000webhostapp.com/images/development.jpg	(from http://himanshunarang.000webhostapp.com/)
00:35:47	42352/42352	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jul%202017%2009:27:24%20GMT	http://himanshunarang.000webhostapp.com/images/real_estate.jpg	C:/Users/YASHI/Desktop/project/himanshunarang.000webhostapp.com/images/real_estate.jpg	(from http://himanshunarang.000webhostapp.com/)
00:35:49	2046/2046	---M--	200	added ('OK')	image/png	etag:%225c7954f9-7fe%22	https://cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	C:/Users/YASHI/Desktop/project/cdn.000webhost.com/000webhost/logo/footer-powered-by-000webhost-white2.png	(from http://himanshunarang.000webhostapp.com/)
00:35:51	110184/110184	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jul%202017%2009:26:18%20GMT	http://himanshunarang.000webhostapp.com/images/construction.jpg	C:/Users/YASHI/Desktop/project/himanshunarang.000webhostapp.com/images/construction.jpg	(from http://himanshunarang.000webhostapp.com/)
00:35:52	72259/72259	---MCZ	200	added ('OK')	text/css	date:Mon,%2024%20Jul%202017%2009:27:41%20GMT	http://himanshunarang.000webhostapp.com/css/animate.css	C:/Users/YASHI/Desktop/project/himanshunarang.000webhostapp.com/css/animate.css	(from http://himanshunarang.000webhostapp.com/)
00:35:52	75536/75536	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jul%202017%2009:26:18%20GMT	http://himanshunarang.000webhostapp.com/images/a2.jpg	C:/Users/YASHI/Desktop/project/himanshunarang.000webhostapp.com/images/a2.jpg	(from http://himanshunarang.000webhostapp.com/)
00:35:57	214477/214477	---M--	200	added ('OK')	image/jpeg	date:Mon,%2024%20Jul%202017%2009:26:18%20GMT	http://himanshunarang.000webhostapp.com/images/hero_image.jpg	C:/Users/YASHI/Desktop/project/himanshunarang.000webhostapp.com/images/hero_image.jpg	(from http://himanshunarang.000webhostapp.com/)
